Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
C4,C,0,5.0,3,0.906086739886183,0.8864605088157469,30000000,7497360,0.249912,0.5001412497199014,169,188,0.898936170212766
C4,C,24,3.3,3,0.8132833619671757,0.8768484916709333,30000000,7505694,0.2501898,0.5001720027488464,172,188,0.9148936170212766
C4,C,24,5.0,3,0.8990955974070814,0.9099935736227616,30000000,7500977,0.2500325666666667,0.5001024533204141,166,188,0.8829787234042553
C4,C,40,5.0,3,0.9058007003768975,0.9125414291199708,30000000,7489179,0.2496393,0.5001229106688464,169,188,0.898936170212766
C5,C,0,3.3,3,0.9006998039776538,0.8921379244436913,30000000,7490075,0.2496691666666666,0.4996606843055644,171,188,0.9095744680851064
C5,C,0,5.0,3,0.9108956053453552,0.8808195872383746,30000000,7496814,0.2498938,0.4996837323161546,169,188,0.898936170212766
C5,C,24,3.3,3,0.7848991898109546,0.9219162932143852,30000000,7508209,0.2502736333333333,0.5000930315072476,177,188,0.9414893617021276
C5,C,24,5.0,3,0.897470241983334,0.9003741252657842,30000000,7498588,0.2499529333333333,0.4999901314754191,170,188,0.9042553191489362
C5,C,40,5.0,3,0.9109059587801958,0.9005732019797185,30000000,7496982,0.2498994,0.5001591307008607,175,188,0.9308510638297872
C6,C,0,3.3,3,0.9330522010711942,0.901178162084253,30000000,7510799,0.2503599666666666,0.5002343958345843,178,188,0.946808510638298
C6,C,0,5.0,3,0.932235664096198,0.8916687344968656,30000000,7515323,0.2505107666666666,0.4998897585639366,173,188,0.9202127659574468
C6,C,24,3.3,3,0.8684771811080636,0.9361906764507392,30000000,7496909,0.2498969666666666,0.5000570235012857,170,188,0.9042553191489362
C6,C,24,5.0,3,0.9015107659176286,0.9007523437335956,30000000,7503859,0.2501286333333333,0.5000448435931432,164,188,0.8723404255319149
C6,C,40,5.0,3,0.9045445204061796,0.9086523222216812,30000000,7498581,0.2499527,0.49984403715849707,169,188,0.898936170212766
