Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
C1,C,24,5.0,2,0.9064449711134736,0.8857563170299086,10000000,2500018,0.2500018,0.498918807784584,188,188,1.0
C2,C,0,3.3,2,0.7221162592338736,0.8305924836551389,10000000,2477331,0.2477331,0.5006573606837359,184,188,0.9787234042553192
C2,C,0,5.0,2,0.9043436337890632,0.8591626236136563,10000000,2500745,0.2500745,0.5002209341616198,186,188,0.9893617021276596
C2,C,24,3.3,2,0.7661613856641352,0.8354664057329376,10000000,2493882,0.2493882,0.5002061043786354,182,188,0.9680851063829788
C2,C,24,5.0,2,0.9048938139384692,0.8660074514787143,10000000,2499562,0.2499562,0.4994559046744989,188,188,1.0
C2,C,40,3.3,2,0.6483850147263026,0.8748633654746073,10000000,2313676,0.2313676,0.5000466789645568,187,188,0.9946808510638298
C2,C,40,5.0,2,0.8940979952139599,0.8344795081965456,10000000,2500442,0.2500442,0.4999240134344248,188,188,1.0
C3,C,0,3.3,2,0.8838101421810647,0.8727093797916535,10000000,2499392,0.2499392,0.4992314130796609,187,188,0.9946808510638298
C3,C,0,5.0,2,0.9243195121947149,0.86900587064632,10000000,2500310,0.250031,0.4995576548507985,188,188,1.0
C3,C,24,3.3,2,0.8925846477961086,0.870997310996966,10000000,2499245,0.2499245,0.500117835586347,188,188,1.0
C3,C,24,5.0,2,0.9329943101942231,0.8908269101148357,10000000,2499948,0.2499948,0.5001708035527139,188,188,1.0
C4,C,0,3.3,2,0.8740026801869901,0.8701818895639174,10000000,2499473,0.2499473,0.5001882396809247,188,188,1.0
C4,C,0,5.0,2,0.9079870788038068,0.887396802504146,10000000,2499066,0.2499066,0.5005093903082192,187,188,0.9946808510638298
C4,C,24,3.3,2,0.8121977952718565,0.8956849725464968,10000000,2490647,0.2490647,0.5000772891541836,188,188,1.0
C4,C,24,5.0,2,0.8899836008702625,0.8724358638314591,10000000,2500969,0.2500969,0.5000301882990154,187,188,0.9946808510638298
C5,C,0,3.3,2,0.8925035147394323,0.8455373183384065,10000000,2497827,0.2497827,0.4992579550144986,187,188,0.9946808510638298
C5,C,0,5.0,2,0.9103807734837747,0.8711522677111252,10000000,2500537,0.2500537,0.4997522532160092,186,188,0.9893617021276596
C5,C,24,3.3,2,0.7523948858110209,0.8684850685906423,10000000,2487305,0.2487305,0.4996958555545058,187,188,0.9946808510638298
C5,C,24,5.0,2,0.8918391341555573,0.8847207977323008,10000000,2499899,0.2499899,0.49993139722844804,188,188,1.0
C6,C,0,3.3,2,0.9354066112394646,0.8955965929506173,10000000,2499187,0.2499187,0.4997425162662898,188,188,1.0
C6,C,0,5.0,2,0.9067317391112496,0.8501479820210668,10000000,2500490,0.250049,0.4997584473443205,188,188,1.0
C6,C,24,3.3,2,0.8648830272313072,0.8865034687442562,10000000,2497827,0.2497827,0.5002091818208386,188,188,1.0
C6,C,24,5.0,2,0.897583162902913,0.8990913071276578,10000000,2501099,0.2501099,0.5004248132520944,188,188,1.0
